zip,das_type
08852,DAS
08853,DAS
08858,DAS
08865,DAS
08867,EDAS
08868,DAS
08870,DAS
08886,DAS
08889,DAS
10001,DAS
10002,DAS
10003,DAS
10004,DAS
10005,DAS
10006,DAS
10007,DAS
10008,DAS
10009,DAS
10010,DAS
10011,DAS
10012,DAS
10013,DAS
10014,DAS
10016,DAS
10017,DAS
10018,DAS
10019,DAS
10020,DAS
10022,DAS
10029,DAS
10036,DAS
10038,DAS
10041,DAS
10045,DAS
10055,DAS
10081,DAS
10101,DAS
10103,DAS
10104,DAS
10105,DAS
10107,DAS
10110,DAS
10111,DAS
10112,DAS
10116,DAS
10118,DAS
10119,DAS
10120,DAS
10121,DAS
10122,DAS
10123,DAS
10150,DAS
10151,DAS
10152,DAS
10153,DAS
10154,DAS
10155,DAS
10158,DAS
10165,DAS
10166,DAS
10167,DAS
10168,DAS
10169,DAS
10170,DAS
10171,DAS
10173,DAS
10174,DAS
10175,DAS
10176,DAS
10177,DAS
10178,DAS
10179,DAS
10199,DAS
10270,DAS
10271,DAS
10278,DAS
10279,DAS
10280,DAS
10282,DAS
10452,DAS
10453,DAS
10456,DAS
10457,DAS
10458,DAS
10459,DAS
10460,DAS
10467,DAS
10469,DAS
10470,DAS
10471,DAS
10475,DAS
10505,DAS
10506,DAS
10509,DAS
10516,DAS
10518,DAS
10519,DAS
10524,DAS
10526,DAS
10536,DAS
10541,DAS
10542,DAS
10552,DAS
10560,DAS
10566,DAS
10576,DAS
10578,DAS
10579,DAS
10588,DAS
10590,DAS
10597,DAS
10910,EDAS
10911,EDAS
10916,DAS
10919,DAS
10922,DAS
10924,DAS
10925,DAS
10928,EDAS
10930,DAS
10931,DAS
10933,DAS
10958,DAS
10963,DAS
10964,DAS
10968,DAS
10969,EDAS
10973,DAS
10974,DAS
10975,DAS
10979,DAS
10985,DAS
10986,DAS
10987,DAS
10990,DAS
10998,DAS
11212,DAS
11221,DAS
11226,DAS
11239,DAS
11569,DAS
11770,REMOTE
11792,DAS
11930,DAS
11932,DAS
11933,DAS
11935,DAS
11937,DAS
11939,DAS
11941,DAS
11942,DAS
11944,DAS
11946,DAS
11948,DAS
11949,DAS
11952,DAS
11954,DAS
11955,DAS
11956,DAS
11957,DAS
11958,DAS
11959,DAS
11960,DAS
11961,DAS
11962,DAS
11963,DAS
11964,EDAS
11965,REMOTE
11968,DAS
11970,DAS
11971,DAS
11972,DAS
11975,DAS
11976,DAS
11977,DAS
11978,DAS
12007,EDAS
12008,DAS
12009,DAS
12015,DAS
12016,EDAS
12017,EDAS
12018,DAS
12019,DAS
12020,DAS
12022,EDAS
12023,EDAS
12024,EDAS
12025,EDAS
12027,DAS
12028,EDAS
12029,EDAS
12031,EDAS
12032,EDAS
12033,DAS
12035,EDAS
12036,EDAS
12037,EDAS
12040,EDAS
12041,DAS
12042,EDAS
12043,DAS
12046,EDAS
12050,DAS
12052,EDAS
12053,EDAS
12055,EDAS
12056,EDAS
12057,EDAS
12058,EDAS
12059,DAS
12060,EDAS
12062,EDAS
12063,DAS
12064,EDAS
12066,EDAS
12067,DAS
12068,EDAS
12069,DAS
12070,EDAS
12071,EDAS
12072,EDAS
12073,DAS
12074,DAS
12075,EDAS
12076,EDAS
12078,DAS
12082,EDAS
12083,DAS
12086,DAS
12087,EDAS
12090,DAS
